Country,Total_Cases,Total_death,New_Death,Total_Recovery,Active_Cases,Critical,CasesPerMillion,DeathPerMillion,Total_tests,Population,Lattitude,Longitude
Angola,172,8,,66,98,1,5,0.2,10000,32821590,-11.202692,17.873887
Bermuda,144,9,,128,7,2,2312,144,9493,62284,32.321384,-64.75737
Eritrea,142,,,39,103,,40,,,3544736,15.179384,39.782334
Brunei,141,3,,138,0,1,322,7,26195,437345,4.535277,114.727669
Cambodia,129,,,126,3,1,8,,29915,16711023,12.565679,104.990963
Trinidad and Tobago,123,8,,109,6,,88,6,4274,1399357,10.691803,-61.222503
Bahamas,104,11,,74,19,1,265,28,2326,393123,25.03428,-77.39628
Burundi,104,1,,75,28,,9,0.08,382,11875569,-3.373056,29.918886
Aruba,101,3,,98,0,,946,28,2249,106753,12.52111,-69.968338
Monaco,99,4,,94,1,,2523,102,16200,39233,43.750298,7.412841
Barbados,97,7,,85,5,1,338,24,7345,287365,13.193887,-59.543198
Botswana,89,1,,25,63,1,38,0.4,33176,2349837,-22.328474,24.684866
Liechtenstein,82,1,,55,26,,2151,26,900,38125,47.166,9.555373
Sint Maarten,77,15,,62,0,,1797,350,477,42860,18.0347188,-63.0681114
Bhutan,67,,,25,42,,87,,22522,771329,27.514162,90.433601
French Polynesia,60,,,60,0,,214,,4578,280859,-17.679742,-149.406843
Macau,45,,,45,0,,69,,,649032,22.198745,113.543873
Namibia,45,,,19,26,1,18,,6514,2539221,-22.95764,18.49041
Martinique,42,3,,36,3,1,1087,78,685,38642,14.641528,-61.024174
Gambia,36,1,,24,11,,15,0.4,1970,2413815,13.443182,-15.310139
Saint Vincent and the Grenadines,29,,,26,3,,261,,741,110930,12.984305,-61.287228
Antigua and Barbuda,26,3,,22,1,1,266,31,489,97904,17.060816,-61.796428
Timor-Leste,24,,,24,0,,18,,1568,1317514,-8.874217,125.727539
Curaçao,23,1,,19,3,,140,6,1080,164073,12.2135221,-68.9495816
Grenada,23,,,23,0,,204,,4130,112508,12.262776,-61.604171
Belize,22,2,,17,3,,55,5,1957,397364,17.189877,-88.49765
New Caledonia,21,,,21,0,,74,,7788,285410,-20.904305,165.618042
Laos,19,,,19,0,,3,,11478,7271899,19.85627,102.495496
Saint Lucia,19,,,18,1,,103,,1356,183602,13.909444,-60.978893
Dominica,18,,,18,0,,250,,623,71981,15.414999,-61.370976
Fiji,18,,,18,0,,20,,2431,896244,-16.578193,179.414413
Saint Kitts and Nevis,15,,,15,0,,282,,417,53187,17.357822,-62.782998
Falkland Islands [Islas Malvinas],13,,,13,0,,3740,,671,3476,-51.796253,-59.523613
Greenland,13,,,13,0,,229,,2807,56767,71.706936,-42.604303
Turks and Caicos Islands,12,1,,11,0,,310,26,366,38699,21.694025,-71.797928
Vatican City,12,,,12,0,,14981,,,801,41.902916,12.453389
Montserrat,11,1,,10,0,,2204,200,61,4992,16.742498,-62.187366
Seychelles,11,,,11,0,,112,,,98329,-4.679574,55.491977
Western Sahara,9,1,,8,0,,15,2,,596750,24.215527,-12.885834
British Virgin Islands,8,1,,7,0,,265,33,212,30225,18.420695,-64.639968
Papua New Guinea,8,,,8,0,,0.9,,5281,8940748,-6.314993,143.95555
Netherlands Antilles,7,,,7,0,,267,,424,26215,12.226079,-69.060087
St. Barth,6,,,6,0,,608,,152,9876,17.9139222,-62.8338521
Lesotho,4,,,2,2,,2,,1515,2141718,-29.609988,28.233608
Anguilla,3,,,3,0,,200,,93,14999,18.220554,-63.068615
Saint Pierre and Miquelon,1,,,1,0,,173,,,"5,",46.941936,-56.27111
